iter	Passed	Remaining
173	253	1205
174	254	1199
175	255	1194
176	255	1188
177	256	1183
178	256	1177
179	257	1172
180	257	1167
181	258	1162
182	259	1157
183	259	1152
184	260	1147
185	261	1143
186	261	1138
187	262	1133
188	263	1128
189	263	1124
190	264	1119
191	265	1115
192	265	1110
193	266	1106
194	267	1102
195	267	1097
196	268	1093
197	268	1089
198	269	1084
199	270	1080
200	270	1076
201	271	1072
202	272	1068
203	272	1064
204	273	1060
205	274	1056
206	274	1052
207	275	1048
208	275	1044
209	276	1040
210	277	1036
211	277	1032
212	278	1028
213	279	1025
214	279	1021
215	280	1017
216	281	1014
217	281	1010
218	282	1006
219	282	1002
220	283	999
221	284	996
222	284	992
223	285	989
224	286	985
225	286	982
226	287	978
227	287	975
228	288	971
229	289	968
230	289	965
231	290	961
232	291	958
233	291	955
234	292	951
235	293	948
236	293	945
237	294	941
238	294	938
239	295	935
240	296	932
241	296	929
242	297	925
243	297	922
244	298	919
245	299	916
246	299	913
247	300	910
248	301	908
249	301	905
250	302	902
251	303	900
252	304	897
253	304	894
254	305	892
255	306	889
256	306	886
257	307	884
258	308	882
259	309	880
260	310	878
261	311	876
262	311	873
263	312	871
264	313	868
265	314	867
266	315	864
267	315	862
268	316	860
269	317	858
270	318	856
271	319	854
272	319	851
273	320	849
274	321	847
275	322	845
276	322	842
277	323	840
278	324	838
279	325	836
280	325	833
281	326	831
282	327	829
283	328	827
284	329	825
285	329	823
286	330	820
287	331	818
288	332	816
289	332	815
290	333	813
291	334	811
292	335	809
293	336	807
294	336	805
295	337	802
296	338	800
297	338	798
298	339	796
299	340	794
300	341	791
301	341	789
302	342	787
303	342	784
304	343	782
305	344	780
306	344	778
307	345	776
308	346	774
309	347	772
310	347	770
311	348	767
312	348	765
313	349	763
314	350	761
315	350	759
316	351	757
317	352	755
318	352	753
319	353	751
320	354	749
321	354	747
322	355	744
323	356	742
324	356	740
325	357	739
326	358	737
327	358	735
328	359	733
329	360	731
330	360	729
331	361	727
332	362	725
333	362	723
334	363	721
335	364	719
336	364	717
337	365	715
338	366	713
339	366	711
340	367	710
341	368	708
342	368	706
343	369	704
344	370	702
345	370	700
346	371	698
347	371	696
348	372	694
349	373	692
350	373	691
351	374	689
352	375	688
353	376	687
354	377	685
355	378	684
356	378	682
357	379	680
358	380	679
359	381	677
360	382	676
361	383	675
362	383	673
363	384	672
364	385	670
365	386	668
366	386	667
367	387	665
368	388	664
369	389	662
370	389	661
371	390	659
372	391	657
373	391	655
374	392	654
375	393	652
376	393	650
377	394	648
378	395	647
379	395	645
380	396	643
381	397	642
382	397	640
383	398	638
384	398	637
385	399	635
386	400	634
387	401	632
388	401	631
389	402	629
390	403	628
391	403	626
392	404	624
393	405	623
394	405	621
395	406	620
396	407	618
397	407	616
398	408	615
399	409	614
400	410	612
401	410	611
402	411	609
403	412	608
404	413	606
405	413	605
406	414	603
407	415	602
408	415	600
409	416	599
410	417	597
411	417	596
412	418	594
413	419	593
414	419	591
415	420	590
416	421	588
417	421	587
418	422	585
419	423	584
420	423	582
421	424	581
422	424	579
423	425	578
424	426	576
425	426	575
426	427	573
427	428	572
428	428	570
429	429	569
430	429	567
431	430	566
432	431	565
433	432	563
434	432	562
435	433	560
436	434	559
437	434	557
438	435	556
439	435	554
440	436	553
441	437	551
442	438	550
443	438	549
444	439	547
445	440	546
446	440	545
447	441	543
448	441	542
449	442	540
450	443	539
451	443	538
452	444	536
453	445	535
454	446	534
455	446	532
456	447	531
457	448	530
458	448	528
459	449	527
460	450	526
461	451	525
462	451	523
463	452	522
464	453	521
465	453	519
466	454	518
467	455	517
468	455	516
469	456	514
470	457	513
471	457	512
472	458	510
473	459	509
474	459	508
475	460	506
476	461	505
477	462	504
478	462	503
479	463	501
480	464	500
481	464	499
482	465	498
483	466	496
484	466	495
485	467	494
486	468	493
487	469	492
488	469	490
489	470	489
490	471	488
491	471	487
492	472	486
493	473	484
494	474	483
495	474	482
496	475	481
497	476	480
498	476	478
499	477	477
500	478	476
501	479	475
502	479	473
503	480	473
504	481	471
505	482	470
506	482	469
507	483	468
508	484	467
509	485	466
510	487	466
511	488	465
512	488	464
513	489	462
514	490	461
515	491	460
516	491	459
517	492	458
518	493	457
519	493	455
520	494	454
521	495	453
522	495	452
523	496	450
524	497	449
525	497	448
526	499	448
527	500	447
528	501	446
529	502	445
530	502	444
531	503	442
532	504	441
533	505	440
534	505	439
535	506	438
536	507	437
537	508	436
538	508	435
539	509	434
540	510	432
541	511	431
542	511	430
543	512	429
544	513	428
545	514	427
546	514	426
547	515	425
548	516	424
549	517	423
550	517	422
551	518	420
552	519	419
553	520	418
554	520	417
555	521	416
556	522	415
557	523	414
558	523	413
559	524	412
560	525	411
561	526	410
562	527	409
563	527	408
564	528	406
565	529	405
566	530	404
567	530	403
568	531	402
569	532	401
570	532	400
571	533	399
572	534	398
573	534	396
574	535	395
575	536	394
576	537	393
577	537	392
578	538	391
579	539	390
580	539	389
581	540	388
582	541	386
583	541	385
584	542	384
585	543	383
586	543	382
587	544	381
588	545	380
589	545	379
590	546	378
591	547	377
592	548	376
593	548	375
594	549	374
595	550	372
596	550	371
597	551	370
598	551	369
599	552	368
600	553	367
601	553	366
602	554	364
603	555	363
604	555	362
605	556	361
606	557	360
607	558	359
608	558	358
609	559	357
610	559	356
611	560	355
612	561	354
613	561	353
614	562	352
615	563	351
616	563	350
617	564	348
618	565	347
619	566	347
620	566	345
621	567	344
622	568	343
623	568	342
624	569	341
625	569	340
626	570	339
627	571	338
628	572	337
629	572	336
630	573	335
631	574	334
632	574	333
633	575	332
634	575	331
635	576	329
636	577	328
637	577	327
638	578	326
639	579	325
640	579	324
641	580	323
642	581	322
643	581	321
644	582	320
645	583	319
646	584	318
647	584	317
648	585	316
649	586	315
650	586	314
651	587	313
652	588	312
653	588	311
654	589	310
655	590	309
656	591	308
657	592	307
658	592	306
659	593	305
660	593	304
661	594	303
662	595	302
663	596	301
664	596	300
665	597	299
666	598	298
667	598	297
668	599	296
669	600	295
670	600	294
671	601	293
672	602	292
673	603	291
674	603	290
675	604	289
676	604	288
677	605	287
678	606	286
679	606	285
680	607	284
681	608	283
682	608	282
683	609	281
684	610	280
685	610	279
686	611	278
687	612	277
688	612	276
689	613	275
690	614	274
691	614	273
692	615	272
693	615	271
694	616	270
695	617	269
696	617	268
697	618	267
698	619	266
699	619	265
700	620	264
701	621	263
702	622	262
703	622	261
704	623	260
705	624	259
706	624	258
707	625	257
708	626	256
709	626	256
710	627	255
711	628	254
712	628	253
713	629	252
714	630	251
715	630	250
716	631	249
717	631	248
718	632	247
719	633	246
720	633	245
721	634	244
722	635	243
723	635	242
724	636	241
725	636	240
726	637	239
727	638	238
728	638	237
729	639	236
730	640	235
731	640	234
732	641	233
733	642	232
734	642	231
735	643	230
736	643	229
737	644	228
738	645	228
739	646	227
740	646	226
741	647	225
742	648	224
743	648	223
744	649	222
745	650	221
746	650	220
747	651	219
748	652	218
749	652	217
750	653	216
751	653	215
752	654	214
753	655	213
754	655	212
755	656	211
756	657	210
757	657	210
758	658	209
759	659	208
760	659	207
761	660	206
762	660	205
763	661	204
764	662	203
765	662	202
766	663	201
767	664	200
768	665	199
769	665	198
770	666	197
771	666	196
772	667	196
773	668	195
774	668	194
775	669	193
776	670	192
777	671	191
778	671	190
779	672	189
780	673	188
781	673	187
782	674	186
783	674	185
784	675	185
785	676	184
786	677	183
787	677	182
788	678	181
789	679	180
790	679	179
791	680	178
792	680	177
793	681	176
794	682	176
795	683	175
796	683	174
797	684	173
798	685	172
799	685	171
800	686	170
801	686	169
802	687	168
803	688	167
804	689	166
805	689	166
806	690	165
807	691	164
808	691	163
809	692	162
810	692	161
811	693	160
812	694	159
813	695	158
814	695	157
815	696	157
816	697	156
817	697	155
818	698	154
819	699	153
820	699	152
821	700	151
822	701	150
823	701	149
824	702	149
825	703	148
826	703	147
827	704	146
828	705	145
829	705	144
830	706	143
831	707	142
832	707	141
833	708	141
834	709	140
835	709	139
836	710	138
837	711	137
838	711	136
839	712	135
840	713	134
841	714	134
842	714	133
843	715	132
844	716	131
845	716	130
846	717	129
847	717	128
848	718	127
849	719	126
850	720	126
851	720	125
852	721	124
853	722	123
854	722	122
855	723	121
856	724	120
857	724	119
858	725	119
859	726	118
860	727	117
861	727	116
862	728	115
863	729	114
864	729	113
865	730	113
866	731	112
867	731	111
868	732	110
869	733	109
870	733	108
871	734	107
872	735	106
873	735	106
874	736	105
875	737	104
876	737	103
877	738	102
878	739	101
879	739	100
880	740	100
881	741	99
882	741	98
883	742	97
884	742	96
885	743	95
886	744	94
887	744	93
888	745	93
889	746	92
890	746	91
891	747	90
892	747	89
893	748	88
894	749	87
895	749	87
896	750	86
897	751	85
898	751	84
899	752	83
900	753	82
901	753	81
902	754	81
903	755	80
904	755	79
905	756	78
906	756	77
907	757	76
908	758	75
909	758	75
910	759	74
911	760	73
912	760	72
913	761	71
914	761	70
915	762	69
916	763	69
917	763	68
918	764	67
919	765	66
920	765	65
921	766	64
922	766	63
923	767	63
924	768	62
925	768	61
926	769	60
927	770	59
928	770	58
929	771	58
930	771	57
931	772	56
932	773	55
933	773	54
934	774	53
935	774	52
936	775	52
937	776	51
938	776	50
939	777	49
940	778	48
941	778	47
942	779	47
943	780	46
944	780	45
945	781	44
946	781	43
947	782	42
948	783	42
949	783	41
950	784	40
951	785	39
952	785	38
953	786	37
954	786	37
955	787	36
956	788	35
957	788	34
958	789	33
959	790	32
960	790	32
961	791	31
962	791	30
963	792	29
964	793	28
965	793	27
966	794	27
967	795	26
968	795	25
969	796	24
970	797	23
971	797	22
972	798	22
973	798	21
974	799	20
975	800	19
976	800	18
977	801	18
978	802	17
979	802	16
980	803	15
981	804	14
982	804	13
983	805	13
984	806	12
985	806	11
986	807	10
987	808	9
988	808	8
989	809	8
990	810	7
991	810	6
992	811	5
993	812	4
994	812	4
995	813	3
996	814	2
997	815	1
998	815	0
999	816	0
